sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/,3000,121,9,224,1,5196,0.0,70.95721280068119,343.28411231048506
/hacker/create.do,6000,164,42,414,1,5048,0.0,141.69992678837116,545.9693566528115
TOTAL,9000,150,19,396,1,5196,0.0,205.44192841490138,859.0140945289673
