sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/,4000,3029,482,9008,3,43781,0.0,7.362767222432879,35.73665751536058
/security/login.do,4000,3699,884,11138,5,53428,0.0,7.392499200686023,27.39220732691387
/j_spring_security_check,4000,6488,3168,17286,5,68641,0.0,7.397037856190488,45.32601042959222
/administrator/score.do,4000,3580,752,11181,4,47462,0.0,7.416994559634491,37.26662216566506
/administrator/computeScore.do,4000,3703,827,11058,11,54196,0.0,7.44402096236303,37.48382960915168
TOTAL,20000,4100,960,12195,3,68641,0.0,36.50727590008689,180.68628416510597
