sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/security/login.do,4000,1446,397,4018,8,45018,0.0,8.481008900818841,28.81043654734417
/j_spring_security_check,4000,2763,1259,7329,17,44256,0.0,8.481044864727336,39.92320389028178
/,8000,1460,424,3974,11,33739,0.0,16.85367220450246,75.37396307123416
/finder/hacker/edit.do,24000,1475,417,4209,6,41626,0.0,50.7399577167019,183.60984366741545
/finder/hacker/clear.do,4000,1516,411,4231,6,30424,0.0,8.517669906220455,30.820959809640723
/j_spring_security_logout,4000,1497,449,4076,14,36002,0.0,8.523314461294564,39.49649194027394
TOTAL,48000,1583,465,4460,6,45018,0.0,101.07327180497911,395.981377545783
