sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/Acme-Rookies/,10000,8,8,14,1,79,0.0,65.52049481077681,318.2454179675215
/Acme-Rookies/security/login.do,10000,6,7,11,1,75,0.0,65.43175141169004,241.80566994752374
/Acme-Rookies/j_spring_security_check,10000,15,15,24,3,84,0.0,65.42704230512555,356.8190069749316
/Acme-Rookies/item/provider/list.do,10000,11,12,18,2,83,0.0,65.41077969649398,307.5865772991889
TOTAL,40000,10,9,19,1,84,0.0,256.8960534343791,1201.55459116398
