sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/,30000,821,331,2010,11,51003,0.0,25.46522850373957,126.22994401045094
/security/login.do,10000,820,311,2047,8,35517,0.0,8.506106533880674,32.047420905968394
/j_spring_security_check,10000,1613,927,3746,20,28453,0.0,8.52103032890325,45.39079628602372
/position/list.do,20000,789,320,1941,15,46854,0.0,17.10890330218943,92.12743438307861
/position/auditor/assign.do,10000,1632,942,3765,25,29141,0.0,8.568224055631767,45.80954133868219
/j_spring_security_logout,10000,816,340,1991,5,34677,0.0,8.618312189740761,43.58812385807364
TOTAL,90000,991,429,2464,5,51003,0.0,76.39568551121872,383.1578522668722
