sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/,1000,2044,26,7205,2,46288,0.0,3.217306535314765,15.564977124950532
/security/login.do,1000,5096,1094,16134,2,66283,0.0,3.2238513417669283,11.894248407417438
/j_spring_security_check,1000,5218,200,17264,4,82372,0.0,3.2246726151127505,19.65664693704472
/administrator/rebranding.do,1000,6794,1656,20726,2,66065,0.0,3.2223138791503403,14.758449309780367
/administrator/sendRebrandingMessage.do,1000,4239,1559,12298,731,56090,0.0,3.2133366323589425,40.8628628509767
TOTAL,5000,4678,1260,15298,2,82372,0.0,15.883958155300636,101.4024598145786
