sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/security/login.do,3000,1334,243,4149,2,18001,0.0,26.48188197907931,100.06304101657325
/j_spring_security_check,3000,2540,1035,6940,3,29889,0.0,26.484219819024496,162.288272801258
/administrator/spammers.do,3000,1399,221,4421,3,23111,0.0,26.4860903881978,136.37241332978715
/administrator/computeSpammers.do,3000,1384,308,4312,7,24899,0.0,26.47230114889787,136.29584809531795
TOTAL,12000,1664,395,5123,2,29889,0.0,104.40774705483147,527.356597047001
