sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/,3000,8,9,13,1,55,0.0,25.27954968695491,122.29985278612237
/security/login.do,3000,7,7,10,1,225,0.0,25.26698783815652,93.22183605988697
/j_spring_security_check,3000,15,17,24,3,197,0.0,25.265711061328304,136.86572208875845
/item/provider/list.do,3000,10,12,15,2,55,0.0,25.215805266741192,110.83932252485859
/item/provider/edit.do,6000,15,14,27,2,81,0.0,49.72897707494157,239.2996337279535
TOTAL,18000,12,11,24,1,225,0.0,144.06108189872504,671.4255828846431
