sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/,1500,83,8,222,2,2576,0.0,27.04505706507041,130.8437043614662
/security/login.do,1500,159,80,386,1,2767,0.0,26.992496086088067,99.58821681947418
/j_spring_security_check,1500,125,16,288,3,1916,0.0,26.88605689089638,163.89075130845478
/auditor/admin/list.do,1500,188,91,585,3,2163,0.0,26.84371588611106,141.01641842753986
/auditor/admin/create.do,3000,282,88,791,2,4564,0.0,54.74152874842618,376.9305120442768
TOTAL,9000,187,37,463,1,4564,0.0,149.39495045067477,837.8003979715485
