sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/,1000,8,5,18,2,144,0.0,33.856988082340195,163.79640523429035
/security/login.do,1000,20,4,18,1,793,0.0,33.64624339692474,124.13623784529457
/j_spring_security_check,1000,27,10,44,4,721,0.0,33.66890003703579,205.23561917107168
/administrator/list.do,1000,11,6,25,2,310,0.0,33.72340066772333,172.27256727818434
/administrator/create.do,2000,13,11,28,2,181,0.0,67.10283509478275,478.6974710619024
TOTAL,6000,15,8,27,1,793,0.0,183.44135991194815,1039.4711825088664
