sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/,6000,19,1,65,0,584,0.0,122.84760754284311,245.29532052988267
/security/login.do,2000,0,1,1,0,11,1.0,43.1480842250604,21.826862918536417
/j_spring_security_check,2000,0,0,1,0,29,1.0,43.1480842250604,22.037546923541598
/position/list.do,4000,0,0,1,0,29,1.0,84.63100880162492,42.68741801371022
/position/auditor/assign.do,2000,0,0,1,0,11,1.0,42.912929665708276,22.043165043127495
/j_spring_security_logout,2000,0,0,1,0,7,1.0,42.91108822519739,21.95840842773773
TOTAL,18000,6,1,3,0,584,0.6666666666666666,368.54282262852934,370.2223797629041
